,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
131,132,1,6.0,0,3.0,1,2,1.0,14,2.0,1.0,2.0,1,2,1.0,1,1,3.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,2.0,2,1.0,9.0
132,133,2,3.0,0,3.0,1,3,2.0,9,2.0,1.0,2.0,1,0,3.0,3,3,3.0,3,2.0,3.0,3.0,3.0,3.0,4.0,3,3.0,3.0,3,2.0,6.0
133,134,1,6.0,0,1.0,1,6,2.0,9,2.0,1.0,2.0,1,4,1.0,2,1,1.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,9.0
134,135,1,4.0,0,3.0,1,8,2.0,7,2.0,1.0,1.0,1,1,3.0,3,3,4.0,3,4.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,4.0
135,136,2,2.0,0,2.0,2,8,2.0,8,1.0,1.0,2.0,3,3,2.0,4,2,3.0,3,3.0,3.0,4.0,2.0,3.0,1.0,2,3.0,3.0,3,2.0,8.0
136,137,1,4.0,0,3.0,1,5,1.0,12,2.0,1.0,1.0,3,4,3.0,3,3,5.0,5,3.0,3.0,3.0,3.0,4.0,3.0,3,4.0,3.0,5,3.0,5.0
137,138,1,6.0,0,3.0,1,5,2.0,15,2.0,1.0,2.0,1,5,2.0,3,3,3.0,2,3.0,2.0,3.0,2.0,2.0,2.0,2,3.0,3.0,2,2.0,6.0
138,139,2,2.0,0,3.0,1,4,2.0,12,2.0,1.0,1.0,1,2,1.0,2,2,2.0,3,2.0,2.0,2.0,3.0,3.0,1.0,2,3.0,2.0,1,1.0,10.0
139,140,1,2.0,0,2.0,1,4,2.0,2,1.0,1.0,1.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,2.0,2,3.0,10.0
140,141,2,2.0,0,3.0,1,8,2.0,8,2.0,2.0,2.0,1,2,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,2.0,3.0,3,4.0,3.0,2,3.0,5.0
141,142,2,3.0,0,2.0,1,8,2.0,9,2.0,1.0,1.0,2,1,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2.0,2,3.0,3.0,2,2.0,9.0
142,143,1,4.0,0,3.0,1,3,2.0,2,2.0,2.0,2.0,2,2,1.0,2,2,2.0,1,2.0,3.0,2.0,1.0,1.0,3.0,2,2.0,2.0,2,2.0,8.0
143,144,2,6.0,0,3.0,1,1,2.0,14,2.0,4.0,2.0,1,7,1.0,3,2,3.0,1,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,3.0,2,2.0,9.0
144,145,1,6.0,0,2.0,1,5,2.0,14,2.0,1.0,2.0,2,3,1.0,5,2,4.0,4,3.0,3.0,3.0,2.0,1.0,3.0,3,4.0,4.0,3,1.0,5.0
145,146,1,1.0,0,2.0,1,8,2.0,8,1.0,4.0,2.0,3,1,4.0,4,4,4.0,3,3.0,4.0,3.0,2.0,2.0,4.0,3,4.0,3.0,2,3.0,4.0
146,147,2,2.0,0,1.0,2,9,8.0,8,1.0,1.0,2.0,3,2,4.0,4,4,4.0,5,3.0,4.0,2.0,2.0,5.0,3.0,4,3.0,4.0,3,2.0,5.0
147,148,1,2.0,0,2.0,1,8,2.0,8,1.0,4.0,2.0,3,1,1.0,3,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,3.0,7.0
148,149,2,2.0,0,2.0,1,8,2.0,12,2.0,1.0,2.0,1,2,1.0,1,1,1.0,3,1.0,1.0,2.0,3.0,3.0,3.0,3,3.0,3.0,2,2.0,8.0
149,150,2,6.0,0,3.0,1,2,2.0,8,2.0,1.0,2.0,1,9,4.0,2,2,2.0,4,1.0,2.0,2.0,1.0,1.0,2.0,2,2.0,2.0,2,2.0,6.0
150,151,1,3.0,0,3.0,1,3,7.0,8,2.0,3.0,2.0,2,1,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,5.0,3.0,5,2.0,2.0,1,5.0,6.0
151,152,2,6.0,0,3.0,1,2,2.0,14,2.0,1.0,2.0,1,6,1.0,3,2,2.0,3,2.0,2.0,1.0,1.0,1.0,1.0,2,3.0,3.0,2,1.0,6.0
152,153,2,4.0,0,3.0,1,3,2.0,9,2.0,1.0,1.0,1,2,1.0,2,2,2.0,2,2.0,2.0,3.0,2.0,2.0,1.0,2,3.0,2.0,2,1.0,8.0
153,154,1,6.0,0,1.0,1,2,7.0,14,3.0,1.0,2.0,2,4,1.0,1,1,1.0,1,1.0,1.0,1.0,2.0,1.0,2.0,1,3.0,2.0,2,1.0,9.0
154,155,2,5.0,0,3.0,1,3,8.0,4,4.0,1.0,2.0,2,3,2.0,3,2,3.0,2,2.0,2.0,3.0,3.0,1.0,1.0,2,4.0,2.0,1,2.0,7.0
155,156,1,2.0,0,3.0,1,5,3.0,8,1.0,4.0,2.0,2,0,3.0,4,3,3.0,5,3.0,3.0,4.0,2.0,2.0,2.0,3,3.0,3.0,2,1.0,6.0
156,157,2,5.0,0,3.0,1,2,10.0,14,2.0,2.0,2.0,1,8,3.0,5,5,4.0,3,2.0,3.0,2.0,2.0,2.0,3.0,2,4.0,3.0,1,4.0,4.0
157,158,2,2.0,0,3.0,1,5,10.0,3,1.0,1.0,2.0,2,1,2.0,3,2,2.0,1,1.0,2.0,1.0,3.0,2.0,1.0,1,2.0,2.0,2,2.0,7.0
158,159,2,3.0,0,3.0,1,8,3.0,9,2.0,2.0,1.0,4,0,1.0,1,1,1.0,3,3.0,1.0,3.0,3.0,3.0,4.0,1,3.0,3.0,1,3.0,10.0
159,160,1,6.0,0,3.0,1,2,3.0,15,2.0,4.0,2.0,1,4,1.0,2,2,4.0,4,1.0,1.0,2.0,2.0,1.0,3.0,2,4.0,3.0,2,2.0,8.0
160,161,2,2.0,0,3.0,1,8,3.0,15,1.0,4.0,2.0,2,1,2.0,2,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,9.0
161,162,2,2.0,0,2.0,1,8,3.0,7,1.0,4.0,2.0,1,2,1.0,4,2,2.0,3,2.0,3.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,7.0
163,164,1,2.0,0,2.0,1,8,3.0,8,1.0,4.0,2.0,3,3,3.0,3,3,3.0,3,3.0,3.0,3.0,4.0,4.0,3.0,4,4.0,3.0,2,3.0,5.0
164,165,2,2.0,0,2.0,1,8,1.0,8,1.0,4.0,2.0,3,0,2.0,3,2,4.0,3,2.0,3.0,3.0,3.0,4.0,3.0,3,3.0,3.0,2,2.0,8.0
166,167,2,6.0,0,3.0,1,2,7.0,13,3.0,4.0,2.0,1,1,4.0,3,3,1.0,4,2.0,4.0,3.0,2.0,2.0,4.0,4,2.0,4.0,4,3.0,3.0
167,168,1,4.0,0,3.0,1,4,3.0,8,2.0,2.0,1.0,2,1,2.0,3,2,3.0,3,2.0,2.0,3.0,2.0,3.0,2.0,3,3.0,3.0,2,2.0,7.0
168,169,1,3.0,0,3.0,2,4,3.0,6,2.0,1.0,1.0,3,0,3.0,3,3,3.0,4,2.0,2.0,2.0,2.0,3.0,3.0,4,3.0,3.0,2,2.0,7.0
169,170,2,5.0,1,3.0,1,2,3.0,11,2.0,1.0,2.0,2,3,2.0,2,2,3.0,2,2.0,2.0,3.0,1.0,1.0,2.0,2,1.0,2.0,2,2.0,5.0
170,171,1,5.0,0,3.0,1,6,3.0,12,4.0,4.0,2.0,1,4,3.0,5,3,4.0,3,5.0,5.0,5.0,3.0,4.0,3.0,5,5.0,5.0,5,5.0,0.0
172,173,1,2.0,0,3.0,2,3,5.0,9,2.0,1.0,2.0,2,2,3.0,3,3,3.0,3,3.0,2.0,3.0,3.0,2.0,3.0,3,4.0,3.0,4,2.0,7.0
173,174,2,4.0,0,3.0,1,2,8.0,11,2.0,4.0,2.0,1,4,5.0,5,3,3.0,3,3.0,3.0,3.0,3.0,2.0,1.0,3,4.0,2.0,2,5.0,5.0
174,175,1,6.0,0,1.0,1,3,3.0,14,3.0,1.0,2.0,1,2,1.0,3,2,4.0,4,2.0,2.0,2.0,1.0,3.0,3.0,2,3.0,2.0,3,1.0,8.0
175,176,2,1.0,0,2.0,1,4,3.0,15,1.0,1.0,1.0,2,1,1.0,2,1,1.0,1,2.0,2.0,1.0,2.0,2.0,1.0,1,2.0,3.0,2,1.0,9.0
176,177,2,2.0,0,2.0,1,9,3.0,3,1.0,4.0,2.0,1,2,2.0,2,2,2.0,3,3.0,2.0,3.0,2.0,4.0,2.0,2,3.0,2.0,2,2.0,7.0
177,178,1,2.0,0,1.0,1,9,3.0,3,1.0,4.0,2.0,2,1,4.0,4,3,4.0,3,3.0,3.0,3.0,5.0,3.0,3.0,4,3.0,3.0,3,3.0,6.0
178,179,1,6.0,0,3.0,1,3,3.0,11,2.0,1.0,2.0,1,2,2.0,2,2,2.0,4,2.0,2.0,2.0,2.0,2.0,3.0,2,3.0,3.0,3,2.0,6.0
179,180,2,5.0,0,3.0,1,3,3.0,11,2.0,1.0,2.0,1,8,3.0,5,3,3.0,2,3.0,3.0,3.0,2.0,2.0,2.0,2,3.0,2.0,2,2.0,8.0
182,183,2,1.0,0,3.0,1,4,3.0,15,1.0,4.0,2.0,2,0,1.0,2,2,1.0,2,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3.0,2,2.0,8.0
183,184,2,4.0,0,3.0,1,1,3.0,12,2.0,1.0,1.0,1,5,2.0,2,2,3.0,3,2.0,3.0,3.0,2.0,2.0,2.0,3,4.0,3.0,2,2.0,8.0
184,185,2,4.0,0,3.0,1,2,3.0,12,2.0,1.0,1.0,2,4,4.0,3,3,3.0,3,3.0,2.0,5.0,1.0,3.0,3.0,2,3.0,3.0,4,4.0,6.0
185,186,2,5.0,0,3.0,1,2,7.0,11,2.0,4.0,2.0,1,4,3.0,3,3,3.0,2,2.0,2.0,2.0,2.0,2.0,2.0,4,3.0,3.0,3,2.0,7.0
186,187,2,2.0,0,3.0,1,5,3.0,12,2.0,4.0,1.0,1,1,5.0,5,5,5.0,3,3.0,4.0,4.0,3.0,4.0,3.0,3,5.0,3.0,2,2.0,10.0
187,188,1,2.0,0,3.0,1,5,8.0,9,2.0,1.0,1.0,2,1,3.0,3,3,2.0,3,3.0,3.0,3.0,2.0,2.0,2.0,2,2.0,2.0,3,1.0,8.0
189,190,1,5.0,0,3.0,1,5,3.0,11,2.0,4.0,2.0,1,1,3.0,4,2,3.0,3,3.0,4.0,4.0,2.0,4.0,3.0,5,5.0,5.0,5,2.0,6.0
190,191,1,2.0,0,1.0,1,10,3.0,3,2.0,1.0,1.0,4,0,2.0,3,2,2.0,3,3.0,2.0,2.0,2.0,3.0,3.0,3,3.0,2.0,2,2.0,7.0
191,192,2,2.0,0,3.0,1,4,8.0,8,1.0,2.0,2.0,3,1,3.0,3,3,2.0,3,3.0,4.0,3.0,3.0,2.0,3.0,2,4.0,3.0,2,2.0,6.0
192,193,2,3.0,0,3.0,1,3,10.0,12,2.0,4.0,2.0,1,0,5.0,5,3,3.0,5,3.0,5.0,3.0,3.0,5.0,3.0,5,5.0,4.0,4,5.0,5.0
193,194,1,2.0,0,2.0,1,10,8.0,14,1.0,4.0,2.0,1,0,3.0,3,3,2.0,2,3.0,2.0,2.0,2.0,2.0,2.0,3,3.0,3.0,2,2.0,7.0
194,195,1,3.0,0,1.0,1,4,3.0,10,2.0,1.0,2.0,1,2,2.0,5,3,3.0,3,3.0,2.0,3.0,5.0,3.0,3.0,3,5.0,3.0,2,1.0,5.0
195,196,1,2.0,0,3.0,1,9,8.0,8,1.0,1.0,2.0,3,0,2.0,2,2,3.0,3,3.0,3.0,2.0,2.0,2.0,2.0,3,3.0,3.0,2,2.0,7.0
196,197,2,4.0,0,3.0,1,2,10.0,14,2.0,4.0,2.0,1,1,3.0,3,3,2.0,4,4.0,3.0,3.0,2.0,2.0,3.0,3,4.0,2.0,3,3.0,6.0
197,198,1,5.0,0,3.0,1,5,3.0,14,2.0,1.0,1.0,1,0,2.0,3,3,2.0,3,3.0,2.0,2.0,2.0,2.0,1.0,2,3.0,2.0,3,2.0,7.0
198,199,1,2.0,0,3.0,1,3,3.0,11,1.0,4.0,2.0,1,2,2.0,4,2,2.0,2,2.0,3.0,2.0,2.0,3.0,2.0,2,3.0,2.0,3,2.0,8.0
199,200,2,3.0,0,3.0,1,2,3.0,12,2.0,4.0,2.0,1,2,3.0,3,3,3.0,3,3.0,3.0,4.0,3.0,4.0,3.0,3,3.0,3.0,3,2.0,6.0
200,201,2,2.0,0,2.0,1,8,3.0,4,1.0,4.0,2.0,1,1,2.0,3,3,3.0,2,2.0,3.0,2.0,3.0,2.0,1.0,3,3.0,3.0,2,2.0,8.0
201,202,1,2.0,0,1.0,1,5,3.0,14,1.0,4.0,2.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,9.0
202,203,1,4.0,0,3.0,1,1,3.0,6,2.0,4.0,2.0,1,5,3.0,4,5,4.0,3,3.0,4.0,3.0,2.0,2.0,3.0,3,5.0,4.0,4,2.0,6.0
203,204,2,6.0,0,3.0,1,1,3.0,14,2.0,1.0,2.0,1,8,2.0,4,3,2.0,2,4.0,2.0,3.0,2.0,2.0,1.0,3,1.0,2.0,3,2.0,6.0
204,205,2,5.0,0,3.0,1,5,3.0,14,2.0,4.0,2.0,1,6,3.0,5,2,3.0,4,2.0,3.0,3.0,2.0,1.0,1.0,2,4.0,4.0,2,2.0,7.0
205,206,2,2.0,0,3.0,1,4,3.0,14,2.0,1.0,2.0,1,2,3.0,3,3,4.0,3,4.0,3.0,3.0,3.0,3.0,5.0,3,4.0,3.0,3,2.0,5.0
206,207,2,3.0,0,3.0,1,3,3.0,14,2.0,4.0,2.0,1,3,2.0,2,2,2.0,3,3.0,2.0,2.0,2.0,2.0,4.0,2,2.0,2.0,2,2.0,9.0
207,208,2,4.0,0,3.0,7,3,3.0,14,2.0,4.0,2.0,1,1,3.0,3,3,1.0,1,2.0,2.0,1.0,1.0,2.0,2.0,2,2.0,3.0,2,2.0,8.0
208,209,2,4.0,0,3.0,1,3,3.0,9,2.0,4.0,2.0,1,0,2.0,2,2,3.0,3,2.0,2.0,2.0,1.0,2.0,2.0,3,2.0,3.0,2,2.0,8.0
209,210,1,2.0,0,2.0,1,8,10.0,10,1.0,4.0,2.0,4,1,3.0,4,3,3.0,3,4.0,3.0,4.0,4.0,4.0,3.0,3,3.0,4.0,2,1.0,5.0
210,211,2,2.0,0,2.0,1,4,3.0,3,1.0,4.0,2.0,1,1,2.0,2,2,3.0,3,2.0,3.0,2.0,3.0,3.0,3.0,2,2.0,3.0,3,3.0,5.0
211,212,2,3.0,0,3.0,1,3,3.0,9,2.0,1.0,1.0,2,2,2.0,2,3,3.0,1,2.0,3.0,2.0,1.0,3.0,1.0,1,3.0,2.0,1,3.0,9.0
212,213,1,6.0,0,3.0,1,3,3.0,9,2.0,1.0,1.0,1,0,1.0,3,2,3.0,1,3.0,3.0,3.0,2.0,2.0,1.0,1,2.0,3.0,2,2.0,9.0
213,214,1,4.0,0,3.0,1,5,3.0,14,2.0,2.0,2.0,2,2,2.0,2,2,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,10.0
215,216,2,5.0,0,3.0,1,2,3.0,14,2.0,1.0,2.0,1,4,1.0,1,3,2.0,1,2.0,2.0,1.0,1.0,2.0,1.0,2,2.0,2.0,3,2.0,9.0
216,217,1,2.0,1,2.0,1,9,1.0,10,1.0,4.0,2.0,1,1,3.0,4,4,1.0,1,1.0,3.0,2.0,1.0,4.0,2.0,2,2.0,3.0,1,1.0,7.0
217,218,2,2.0,0,2.0,1,9,10.0,14,1.0,4.0,2.0,1,1,2.0,4,4,3.0,3,2.0,3.0,2.0,2.0,2.0,3.0,2,3.0,2.0,3,2.0,8.0
218,219,1,2.0,0,3.0,1,9,3.0,3,1.0,1.0,1.0,2,0,3.0,3,3,2.0,1,1.0,2.0,2.0,2.0,4.0,1.0,2,3.0,3.0,2,3.0,6.0
219,220,1,5.0,0,1.0,1,8,3.0,2,2.0,3.0,1.0,2,3,2.0,2,2,2.0,3,3.0,2.0,2.0,2.0,2.0,2.0,3,3.0,2.0,2,2.0,8.0
220,221,1,3.0,0,3.0,1,8,3.0,5,2.0,1.0,1.0,1,3,1.0,1,1,3.0,1,2.0,2.0,2.0,1.0,3.0,1.0,2,3.0,2.0,2,1.0,8.0
221,222,1,2.0,0,2.0,1,5,3.0,3,1.0,4.0,2.0,2,1,3.0,4,3,4.0,3,2.0,3.0,4.0,1.0,3.0,2.0,2,2.0,3.0,2,2.0,7.0
222,223,2,1.0,0,2.0,1,9,3.0,12,1.0,4.0,2.0,4,0,2.0,2,3,2.0,1,3.0,2.0,2.0,1.0,2.0,1.0,2,3.0,3.0,1,2.0,8.0
223,224,2,2.0,0,2.0,1,9,6.0,12,1.0,1.0,1.0,3,0,2.0,2,3,1.0,2,3.0,2.0,3.0,2.0,2.0,1.0,3,3.0,3.0,1,2.0,7.0
224,225,1,4.0,0,3.0,1,4,3.0,3,2.0,1.0,2.0,3,3,1.0,3,4,2.0,3,2.0,3.0,2.0,2.0,3.0,3.0,2,4.0,2.0,2,2.0,6.0
225,226,2,3.0,0,3.0,1,5,3.0,9,2.0,1.0,1.0,3,1,4.0,4,4,4.0,4,3.0,4.0,4.0,3.0,3.0,3.0,4,5.0,3.0,3,3.0,5.0
226,227,2,3.0,0,3.0,1,6,3.0,12,2.0,1.0,1.0,1,2,2.0,2,2,3.0,4,3.0,3.0,3.0,2.0,3.0,3.0,4,4.0,4.0,3,3.0,8.0
227,228,1,3.0,0,1.0,1,8,3.0,3,2.0,1.0,1.0,2,0,2.0,3,2,2.0,3,3.0,2.0,2.0,2.0,3.0,2.0,2,3.0,2.0,3,2.0,8.0
228,229,1,6.0,0,1.0,1,2,3.0,14,2.0,1.0,2.0,3,5,1.0,1,1,3.0,1,2.0,2.0,1.0,1.0,3.0,1.0,1,2.0,2.0,2,1.0,10.0
229,230,1,3.0,0,2.0,1,8,7.0,9,2.0,3.0,1.0,3,3,3.0,4,2,5.0,1,2.0,4.0,3.0,3.0,3.0,3.0,4,4.0,4.0,4,3.0,5.0
230,231,2,3.0,0,1.0,2,8,3.0,13,2.0,1.0,2.0,2,0,2.0,2,2,3.0,3,2.0,2.0,2.0,2.0,4.0,2.0,3,2.0,2.0,2,2.0,8.0
231,232,1,2.0,0,1.0,1,6,3.0,12,1.0,1.0,2.0,1,0,2.0,3,2,2.0,2,3.0,3.0,3.0,2.0,3.0,2.0,2,3.0,2.0,2,2.0,5.0
232,233,2,1.0,0,2.0,1,9,4.0,14,1.0,4.0,2.0,3,0,3.0,3,4,4.0,3,3.0,2.0,2.0,1.0,5.0,3.0,3,4.0,2.0,2,2.0,7.0
233,234,2,1.0,0,2.0,1,9,2.0,14,1.0,1.0,2.0,2,0,4.0,4,4,3.0,5,5.0,5.0,3.0,3.0,5.0,5.0,5,5.0,2.0,2,3.0,2.0
234,235,1,2.0,0,2.0,1,8,3.0,2,1.0,1.0,2.0,1,0,1.0,1,1,2.0,1,1.0,2.0,2.0,1.0,2.0,1.0,3,3.0,3.0,1,1.0,7.0
235,236,1,5.0,0,3.0,1,3,3.0,4,2.0,1.0,2.0,1,2,2.0,2,3,3.0,2,4.0,2.0,2.0,2.0,4.0,2.0,2,2.0,4.0,2,2.0,6.0
236,237,1,2.0,0,2.0,1,8,2.0,14,1.0,2.0,2.0,2,0,2.0,3,1,2.0,3,2.0,3.0,2.0,2.0,4.0,2.0,2,3.0,3.0,1,1.0,8.0
237,238,2,1.0,0,2.0,1,5,3.0,15,1.0,1.0,2.0,2,1,2.0,3,2,2.0,2,2.0,3.0,1.0,2.0,1.0,2.0,2,3.0,4.0,1,1.0,8.0
238,239,2,2.0,0,3.0,1,3,3.0,6,1.0,4.0,2.0,3,0,3.0,3,4,3.0,4,3.0,4.0,4.0,4.0,3.0,3.0,4,4.0,3.0,2,2.0,8.0
239,240,2,2.0,0,2.0,1,8,3.0,8,1.0,4.0,2.0,2,2,3.0,3,3,3.0,3,2.0,3.0,3.0,2.0,2.0,2.0,2,4.0,3.0,2,2.0,8.0
240,241,2,6.0,0,3.0,1,2,3.0,14,2.0,1.0,2.0,1,2,2.0,2,2,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,1.0,3,2.0,10.0
241,242,1,4.0,0,1.0,1,5,3.0,1,4.0,2.0,1.0,3,6,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,7.0
242,243,1,3.0,0,3.0,2,2,3.0,9,2.0,1.0,1.0,2,3,4.0,4,4,4.0,5,3.0,3.0,2.0,4.0,3.0,4.0,5,4.0,2.0,3,3.0,4.0
244,245,1,2.0,0,2.0,1,9,3.0,7,1.0,1.0,2.0,2,0,1.0,2,2,2.0,2,2.0,2.0,2.0,2.0,3.0,2.0,2,2.0,2.0,2,1.0,8.0
245,246,1,5.0,0,3.0,2,2,3.0,13,2.0,1.0,2.0,4,7,1.0,3,2,2.0,2,4.0,3.0,2.0,2.0,4.0,2.0,3,2.0,4.0,4,4.0,6.0
246,247,2,6.0,1,1.0,1,2,3.0,14,2.0,1.0,2.0,2,6,2.0,3,3,3.0,2,4.0,3.0,2.0,2.0,2.0,3.0,4,3.0,4.0,2,1.0,9.0
247,248,2,5.0,0,3.0,1,2,3.0,9,3.0,1.0,2.0,2,2,2.0,2,3,2.0,2,2.0,2.0,3.0,2.0,2.0,2.0,2,2.0,2.0,3,1.0,8.0
248,249,2,1.0,0,2.0,4,8,10.0,14,1.0,3.0,1.0,4,2,1.0,4,2,4.0,1,3.0,4.0,3.0,2.0,5.0,4.0,3,2.0,2.0,2,3.0,4.0
250,251,1,2.0,0,3.0,1,5,4.0,12,1.0,1.0,2.0,4,0,2.0,3,2,4.0,3,3.0,2.0,2.0,2.0,5.0,2.0,2,3.0,3.0,2,2.0,7.0
251,252,1,5.0,0,3.0,1,5,4.0,14,2.0,1.0,1.0,1,2,4.0,5,3,5.0,3,4.0,4.0,5.0,4.0,3.0,4.0,3,5.0,5.0,2,5.0,5.0
252,253,1,2.0,0,3.0,1,5,4.0,8,1.0,4.0,2.0,1,1,2.0,3,1,3.0,3,2.0,2.0,2.0,2.0,3.0,1.0,2,2.0,2.0,2,1.0,8.0
253,254,1,2.0,0,1.0,1,8,4.0,9,1.0,4.0,2.0,3,2,3.0,4,3,4.0,4,3.0,3.0,3.0,2.0,4.0,3.0,3,3.0,2.0,2,2.0,7.0
254,255,2,5.0,0,3.0,1,1,4.0,12,2.0,4.0,2.0,2,5,3.0,3,3,4.0,3,2.0,3.0,3.0,2.0,2.0,3.0,3,4.0,3.0,3,3.0,6.0
255,256,2,5.0,0,3.0,1,3,4.0,14,2.0,1.0,2.0,3,2,3.0,3,4,4.0,4,1.0,3.0,4.0,2.0,1.0,2.0,4,5.0,4.0,4,3.0,4.0
256,257,1,2.0,1,3.0,1,8,4.0,7,2.0,1.0,1.0,3,3,3.0,4,3,4.0,3,2.0,3.0,2.0,3.0,3.0,3.0,3,4.0,3.0,2,2.0,8.0
257,258,1,4.0,0,1.0,1,5,4.0,14,2.0,1.0,1.0,3,3,1.0,3,1,3.0,3,2.0,1.0,1.0,1.0,1.0,1.0,1,3.0,1.0,1,1.0,9.0
258,259,2,1.0,0,2.0,1,8,1.0,12,1.0,4.0,2.0,1,3,2.0,3,3,3.0,3,3.0,2.0,2.0,3.0,4.0,3.0,3,3.0,4.0,2,3.0,6.0
259,260,1,3.0,0,3.0,1,8,4.0,8,2.0,1.0,1.0,2,0,3.0,3,3,5.0,3,3.0,3.0,3.0,2.0,5.0,3.0,2,4.0,3.0,5,3.0,5.0
260,261,1,2.0,0,3.0,2,8,4.0,7,1.0,4.0,1.0,2,0,4.0,4,3,3.0,3,3.0,4.0,3.0,2.0,5.0,2.0,3,3.0,3.0,2,3.0,5.0
261,262,1,3.0,0,2.0,1,9,3.0,9,2.0,4.0,2.0,1,0,3.0,3,3,4.0,5,3.0,2.0,2.0,4.0,5.0,4.0,5,3.0,4.0,2,2.0,6.0
262,263,1,3.0,0,3.0,1,8,4.0,8,2.0,1.0,2.0,2,2,1.0,3,3,2.0,2,2.0,3.0,2.0,2.0,3.0,2.0,3,3.0,3.0,2,2.0,7.0
