,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
263,264,1,2.0,1,3.0,1,8,1.0,7,1.0,4.0,1.0,2,1,4.0,3,3,3.0,2,2.0,3.0,2.0,2.0,4.0,2.0,3,2.0,2.0,2,2.0,10.0
264,265,1,6.0,0,3.0,1,5,9.0,14,2.0,1.0,2.0,2,2,3.0,4,3,4.0,2,2.0,2.0,5.0,2.0,2.0,3.0,4,4.0,3.0,4,2.0,7.0
265,266,1,2.0,0,1.0,1,9,4.0,3,1.0,1.0,1.0,2,1,2.0,2,3,2.0,2,2.0,2.0,2.0,1.0,4.0,3.0,3,4.0,2.0,4,1.0,8.0
266,267,2,2.0,0,2.0,2,8,10.0,14,2.0,4.0,2.0,2,2,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,2.0,3.0,3,3.0,2.0,2,3.0,6.0
267,268,1,6.0,0,3.0,1,3,4.0,14,2.0,1.0,2.0,1,3,3.0,3,3,3.0,2,2.0,2.0,2.0,1.0,2.0,3.0,2,4.0,4.0,4,3.0,5.0
268,269,1,6.0,0,3.0,1,2,4.0,14,2.0,1.0,2.0,1,2,2.0,2,3,4.0,2,2.0,2.0,2.0,2.0,2.0,3.0,3,3.0,4.0,4,3.0,10.0
269,270,2,6.0,0,3.0,1,1,4.0,14,2.0,4.0,2.0,1,0,4.0,4,4,4.0,3,2.0,3.0,4.0,3.0,2.0,3.0,4,5.0,4.0,4,4.0,3.0
270,271,2,6.0,0,3.0,7,2,3.0,14,4.0,4.0,2.0,1,0,4.0,5,4,3.0,4,4.0,4.0,5.0,3.0,2.0,4.0,4,5.0,4.0,4,5.0,2.0
271,272,2,3.0,0,3.0,1,3,4.0,9,2.0,4.0,2.0,1,1,4.0,4,3,3.0,3,3.0,4.0,4.0,3.0,2.0,4.0,4,3.0,3.0,2,3.0,5.0
272,273,2,2.0,0,2.0,1,9,5.0,14,1.0,4.0,2.0,1,2,3.0,4,3,4.0,3,3.0,4.0,2.0,3.0,2.0,3.0,3,4.0,3.0,2,2.0,6.0
273,274,2,2.0,0,2.0,7,8,4.0,8,2.0,2.0,2.0,3,0,1.0,1,1,3.0,3,3.0,2.0,2.0,2.0,2.0,1.0,3,2.0,2.0,1,2.0,8.0
274,275,1,3.0,0,3.0,1,8,4.0,9,2.0,1.0,1.0,3,0,3.0,2,2,3.0,3,3.0,2.0,3.0,2.0,3.0,3.0,3,3.0,3.0,3,1.0,6.0
275,276,1,2.0,0,2.0,1,9,4.0,12,1.0,3.0,2.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,4,2.0,7.0
276,277,1,3.0,0,3.0,2,6,4.0,5,4.0,1.0,2.0,3,1,2.0,3,2,4.0,3,2.0,2.0,3.0,2.0,2.0,2.0,3,3.0,3.0,2,2.0,7.0
277,278,2,2.0,0,2.0,1,8,4.0,8,1.0,1.0,2.0,2,2,3.0,3,3,3.0,2,4.0,3.0,3.0,2.0,2.0,3.0,2,3.0,3.0,2,3.0,6.0
278,279,1,4.0,0,3.0,1,3,4.0,10,2.0,4.0,1.0,3,1,3.0,3,2,2.0,5,3.0,3.0,2.0,3.0,2.0,3.0,3,4.0,3.0,2,3.0,7.0
279,280,1,3.0,0,3.0,1,9,4.0,9,2.0,2.0,1.0,3,3,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,2.0,3.0,2,3.0,3.0,3,2.0,6.0
280,281,2,5.0,0,3.0,1,2,4.0,9,2.0,4.0,2.0,1,5,5.0,5,5,3.0,3,3.0,5.0,3.0,1.0,2.0,3.0,3,5.0,3.0,3,5.0,2.0
281,282,1,2.0,0,3.0,1,8,8.0,12,1.0,4.0,2.0,2,0,1.0,2,2,2.0,2,2.0,1.0,1.0,1.0,2.0,2.0,1,2.0,2.0,2,2.0,8.0
282,283,2,2.0,0,2.0,1,9,4.0,14,1.0,4.0,2.0,2,0,3.0,4,5,5.0,3,4.0,2.0,2.0,1.0,2.0,4.0,3,4.0,2.0,2,2.0,7.0
283,284,2,2.0,0,3.0,1,8,4.0,12,1.0,1.0,1.0,2,0,2.0,2,2,3.0,3,3.0,2.0,3.0,2.0,2.0,3.0,2,3.0,3.0,3,2.0,8.0
284,285,2,2.0,0,3.0,1,5,10.0,9,2.0,1.0,1.0,2,3,1.0,2,2,2.0,5,2.0,2.0,3.0,2.0,2.0,2.0,3,3.0,3.0,2,2.0,8.0
285,286,2,2.0,0,3.0,1,9,4.0,8,2.0,1.0,2.0,2,1,3.0,3,3,4.0,4,4.0,4.0,4.0,3.0,4.0,3.0,4,3.0,4.0,2,1.0,8.0
286,287,2,2.0,0,2.0,1,8,4.0,8,2.0,4.0,2.0,1,0,3.0,3,3,3.0,3,3.0,4.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,6.0
287,288,1,2.0,0,3.0,1,5,10.0,7,1.0,1.0,1.0,1,0,2.0,2,2,2.0,2,2.0,2.0,3.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,9.0
289,290,1,2.0,0,2.0,1,9,4.0,4,1.0,1.0,1.0,3,0,2.0,3,3,3.0,3,2.0,3.0,2.0,2.0,3.0,2.0,2,3.0,3.0,2,3.0,6.0
290,291,1,6.0,0,3.0,1,6,9.0,14,2.0,1.0,2.0,2,3,1.0,2,3,2.0,2,1.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,1,2.0,9.0
291,292,1,3.0,0,3.0,1,3,4.0,10,2.0,1.0,1.0,3,0,2.0,2,3,4.0,3,2.0,3.0,3.0,2.0,2.0,3.0,2,4.0,3.0,2,2.0,5.0
292,293,2,4.0,0,3.0,1,3,4.0,14,2.0,1.0,2.0,1,1,2.0,3,3,2.0,2,1.0,3.0,2.0,2.0,1.0,4.0,2,3.0,3.0,2,1.0,7.0
293,294,2,2.0,0,3.0,1,3,4.0,12,1.0,4.0,1.0,1,2,3.0,2,2,4.0,2,3.0,2.0,3.0,1.0,4.0,1.0,3,3.0,3.0,1,3.0,10.0
294,295,1,4.0,0,3.0,1,2,4.0,12,2.0,1.0,2.0,3,4,3.0,2,3,3.0,4,2.0,2.0,3.0,2.0,2.0,3.0,3,2.0,3.0,2,2.0,8.0
295,296,2,3.0,0,3.0,1,2,4.0,12,2.0,4.0,1.0,3,3,4.0,3,3,3.0,3,4.0,3.0,3.0,4.0,4.0,4.0,4,4.0,3.0,2,3.0,5.0
296,297,2,2.0,0,1.0,1,9,4.0,4,1.0,4.0,2.0,4,0,2.0,3,3,3.0,4,3.0,3.0,3.0,3.0,4.0,2.0,2,3.0,3.0,2,2.0,10.0
297,298,1,4.0,0,2.0,1,5,4.0,5,2.0,1.0,1.0,3,2,1.0,2,3,3.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,3.0,3.0,2,2.0,8.0
298,299,1,2.0,0,3.0,1,8,4.0,14,1.0,1.0,2.0,1,0,5.0,5,5,3.0,2,3.0,4.0,2.0,3.0,3.0,3.0,3,3.0,3.0,3,2.0,7.0
299,300,2,4.0,0,3.0,1,5,4.0,14,2.0,1.0,2.0,3,4,3.0,3,4,3.0,3,4.0,3.0,3.0,2.0,2.0,3.0,3,2.0,3.0,2,2.0,7.0
300,301,2,2.0,0,3.0,1,6,4.0,8,2.0,4.0,1.0,3,2,2.0,2,2,3.0,3,3.0,2.0,2.0,3.0,3.0,2.0,3,3.0,2.0,2,2.0,9.0
301,302,2,4.0,0,3.0,1,3,4.0,9,2.0,2.0,2.0,2,6,4.0,3,5,3.0,3,4.0,4.0,3.0,2.0,2.0,3.0,4,4.0,2.0,3,3.0,6.0
302,303,1,3.0,0,3.0,1,5,8.0,9,2.0,1.0,1.0,4,0,3.0,3,3,4.0,3,2.0,3.0,4.0,2.0,5.0,2.0,4,5.0,3.0,2,2.0,7.0
303,304,2,3.0,0,3.0,1,3,4.0,9,2.0,2.0,1.0,2,4,2.0,3,3,4.0,4,2.0,3.0,3.0,2.0,2.0,2.0,3,3.0,3.0,3,3.0,5.0
304,305,2,3.0,0,3.0,1,2,5.0,12,4.0,4.0,1.0,2,0,3.0,4,3,3.0,3,3.0,4.0,3.0,3.0,4.0,4.0,3,4.0,3.0,2,3.0,6.0
306,307,1,3.0,0,3.0,1,5,8.0,9,2.0,3.0,1.0,1,0,3.0,3,3,3.0,3,2.0,2.0,3.0,4.0,5.0,3.0,3,3.0,3.0,2,3.0,7.0
309,310,2,1.0,0,2.0,1,4,4.0,14,1.0,4.0,2.0,1,0,3.0,3,3,2.0,3,1.0,3.0,3.0,2.0,3.0,3.0,3,2.0,1.0,2,2.0,8.0
310,311,2,1.0,0,2.0,3,4,4.0,14,1.0,4.0,2.0,1,1,3.0,3,3,1.0,1,2.0,4.0,3.0,2.0,2.0,1.0,3,4.0,3.0,1,5.0,6.0
311,312,2,4.0,0,3.0,1,3,4.0,14,2.0,1.0,2.0,1,6,3.0,3,3,3.0,4,2.0,3.0,3.0,2.0,4.0,3.0,4,4.0,3.0,3,2.0,7.0
312,313,2,2.0,0,2.0,1,9,4.0,7,2.0,1.0,1.0,1,2,4.0,4,5,5.0,5,4.0,3.0,4.0,4.0,4.0,3.0,5,4.0,4.0,3,3.0,5.0
313,314,1,4.0,0,3.0,1,2,4.0,12,2.0,2.0,1.0,4,3,5.0,4,4,3.0,4,4.0,3.0,3.0,2.0,3.0,1.0,3,4.0,3.0,2,3.0,7.0
314,315,1,4.0,0,1.0,1,8,4.0,10,2.0,1.0,1.0,1,4,2.0,3,3,3.0,3,3.0,4.0,3.0,2.0,4.0,3.0,3,3.0,3.0,4,1.0,8.0
317,318,2,4.0,0,3.0,1,3,4.0,9,2.0,1.0,1.0,5,3,3.0,2,3,5.0,4,3.0,5.0,3.0,2.0,2.0,2.0,3,4.0,4.0,5,3.0,6.0
318,319,1,3.0,0,1.0,1,6,7.0,12,2.0,4.0,2.0,2,4,3.0,4,3,5.0,5,2.0,4.0,3.0,2.0,4.0,2.0,3,3.0,3.0,3,2.0,5.0
319,320,1,2.0,1,3.0,1,6,4.0,8,1.0,4.0,2.0,2,2,3.0,3,3,3.0,3,3.0,3.0,4.0,3.0,2.0,3.0,5,4.0,3.0,1,2.0,5.0
320,321,2,2.0,0,2.0,1,8,4.0,4,1.0,4.0,2.0,1,2,2.0,2,2,3.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,9.0
322,323,2,2.0,0,2.0,1,9,2.0,5,1.0,4.0,2.0,3,1,2.0,3,2,2.0,3,3.0,3.0,2.0,2.0,2.0,1.0,2,3.0,2.0,1,1.0,8.0
323,324,1,6.0,0,3.0,1,3,5.0,14,2.0,1.0,2.0,2,4,2.0,2,2,2.0,2,2.0,2.0,3.0,2.0,2.0,3.0,2,2.0,2.0,2,2.0,7.0
324,325,1,5.0,0,1.0,1,3,4.0,9,1.0,1.0,2.0,1,5,3.0,2,2,2.0,3,2.0,3.0,1.0,4.0,1.0,3.0,4,5.0,2.0,4,2.0,5.0
325,326,1,2.0,0,3.0,1,4,4.0,6,2.0,1.0,1.0,2,2,2.0,3,2,1.0,3,5.0,1.0,1.0,5.0,1.0,1.0,5,5.0,1.0,1,2.0,8.0
326,327,1,2.0,0,3.0,2,5,6.0,8,1.0,4.0,2.0,2,1,1.0,1,1,1.0,5,5.0,1.0,1.0,2.0,3.0,5.0,3,5.0,3.0,3,1.0,9.0
327,328,2,5.0,0,3.0,1,2,4.0,13,2.0,4.0,2.0,1,5,1.0,3,5,1.0,1,1.0,4.0,1.0,2.0,1.0,1.0,1,2.0,3.0,2,1.0,4.0
328,329,1,2.0,0,3.0,1,9,2.0,4,1.0,2.0,2.0,4,0,2.0,2,3,1.0,1,1.0,1.0,2.0,1.0,3.0,1.0,2,2.0,2.0,1,1.0,9.0
329,330,2,4.0,0,3.0,7,3,7.0,12,2.0,4.0,2.0,1,2,5.0,5,1,1.0,3,4.0,3.0,1.0,3.0,2.0,5.0,3,3.0,2.0,2,1.0,5.0
330,331,2,2.0,1,2.0,1,8,5.0,10,1.0,4.0,2.0,4,2,4.0,4,3,3.0,4,4.0,4.0,3.0,3.0,5.0,4.0,4,4.0,4.0,3,2.0,5.0
331,332,2,3.0,0,2.0,1,9,4.0,14,2.0,2.0,1.0,3,2,2.0,2,4,4.0,2,4.0,2.0,2.0,2.0,3.0,2.0,2,3.0,4.0,2,1.0,7.0
332,333,1,4.0,0,3.0,1,5,6.0,3,2.0,1.0,2.0,2,3,2.0,2,2,2.0,2,2.0,2.0,2.0,1.0,3.0,2.0,2,2.0,3.0,3,3.0,8.0
333,334,1,6.0,0,3.0,2,6,4.0,14,2.0,2.0,2.0,3,4,1.0,1,2,2.0,2,2.0,1.0,2.0,1.0,1.0,2.0,2,1.0,2.0,3,2.0,9.0
335,336,1,3.0,0,2.0,1,9,4.0,7,2.0,1.0,1.0,1,2,1.0,1,1,1.0,3,2.0,2.0,2.0,1.0,4.0,2.0,2,2.0,3.0,1,1.0,8.0
336,337,1,2.0,0,2.0,1,9,4.0,7,1.0,4.0,2.0,3,1,2.0,2,2,3.0,3,2.0,2.0,2.0,1.0,2.0,1.0,3,2.0,3.0,2,1.0,8.0
337,338,2,3.0,0,3.0,1,8,4.0,9,2.0,2.0,1.0,4,0,1.0,1,1,2.0,4,3.0,1.0,2.0,3.0,2.0,2.0,3,3.0,3.0,2,2.0,8.0
338,339,1,1.0,0,2.0,1,5,4.0,9,1.0,4.0,2.0,1,0,2.0,2,2,3.0,3,3.0,4.0,1.0,2.0,2.0,3.0,2,4.0,3.0,2,3.0,8.0
339,340,1,2.0,0,3.0,2,3,4.0,8,1.0,1.0,2.0,3,1,1.0,1,1,1.0,1,1.0,1.0,1.0,2.0,3.0,1.0,2,3.0,1.0,1,1.0,10.0
340,341,1,2.0,0,3.0,1,9,4.0,5,1.0,1.0,1.0,3,0,3.0,3,3,3.0,4,4.0,2.0,3.0,2.0,3.0,2.0,3,2.0,2.0,2,3.0,7.0
341,342,1,2.0,0,2.0,1,9,4.0,7,1.0,1.0,2.0,3,2,2.0,3,3,4.0,4,3.0,3.0,5.0,3.0,4.0,4.0,3,3.0,3.0,2,2.0,7.0
343,344,1,2.0,0,3.0,1,9,4.0,7,1.0,1.0,1.0,4,0,3.0,3,3,5.0,2,4.0,3.0,4.0,2.0,4.0,5.0,2,4.0,3.0,1,1.0,6.0
344,345,2,2.0,0,3.0,1,8,4.0,14,1.0,4.0,2.0,3,1,2.0,5,3,3.0,3,4.0,2.0,2.0,2.0,2.0,2.0,4,4.0,2.0,5,2.0,6.0
345,346,2,2.0,0,3.0,1,5,4.0,14,2.0,4.0,1.0,2,1,4.0,4,4,3.0,3,4.0,4.0,3.0,3.0,3.0,3.0,3,4.0,3.0,2,3.0,3.0
346,347,1,6.0,0,1.0,1,9,4.0,2,3.0,1.0,2.0,3,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2,1.0,9.0
347,348,1,6.0,0,1.0,1,2,4.0,14,3.0,1.0,2.0,3,1,2.0,1,2,2.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,3,2.0,8.0
348,349,1,5.0,0,3.0,1,3,5.0,7,2.0,2.0,1.0,2,5,3.0,2,3,2.0,2,3.0,2.0,2.0,2.0,2.0,2.0,2,3.0,3.0,2,2.0,8.0
349,350,2,2.0,0,2.0,1,9,4.0,15,1.0,4.0,2.0,2,1,2.0,3,3,3.0,4,3.0,3.0,3.0,3.0,3.0,4.0,3,3.0,3.0,3,3.0,7.0
350,351,2,2.0,0,2.0,1,5,4.0,4,2.0,1.0,1.0,2,1,3.0,3,3,4.0,4,3.0,4.0,2.0,3.0,5.0,3.0,3,3.0,3.0,2,2.0,6.0
352,353,2,4.0,0,3.0,1,2,4.0,14,2.0,4.0,2.0,1,3,3.0,3,4,3.0,2,2.0,4.0,3.0,3.0,3.0,3.0,2,3.0,3.0,2,3.0,5.0
353,354,2,6.0,0,3.0,1,2,4.0,14,2.0,1.0,2.0,1,5,1.0,1,2,5.0,5,2.0,1.0,2.0,2.0,2.0,4.0,2,2.0,1.0,3,1.0,5.0
354,355,2,1.0,0,3.0,2,5,2.0,6,1.0,4.0,2.0,2,1,3.0,3,4,3.0,4,3.0,2.0,3.0,5.0,5.0,1.0,5,3.0,2.0,1,1.0,6.0
355,356,2,6.0,0,3.0,1,2,4.0,14,2.0,1.0,2.0,1,7,1.0,2,3,2.0,4,3.0,3.0,2.0,2.0,3.0,1.0,4,4.0,3.0,3,1.0,6.0
357,358,1,6.0,0,1.0,1,3,4.0,15,2.0,1.0,1.0,2,3,1.0,2,1,2.0,1,3.0,2.0,2.0,2.0,1.0,1.0,1,3.0,2.0,4,1.0,9.0
358,359,1,6.0,0,3.0,2,6,1.0,14,2.0,1.0,2.0,1,0,2.0,4,3,1.0,3,3.0,3.0,4.0,2.0,3.0,3.0,2,3.0,3.0,3,3.0,8.0
359,360,1,3.0,0,3.0,1,3,4.0,15,2.0,4.0,2.0,1,1,4.0,4,3,4.0,3,3.0,3.0,3.0,3.0,4.0,3.0,3,5.0,4.0,3,3.0,6.0
360,361,1,4.0,0,3.0,1,3,4.0,11,2.0,1.0,2.0,1,4,2.0,1,1,2.0,3,1.0,2.0,2.0,1.0,2.0,1.0,2,1.0,2.0,1,1.0,10.0
361,362,2,4.0,0,3.0,1,5,4.0,14,2.0,4.0,2.0,1,0,5.0,5,4,4.0,5,4.0,4.0,4.0,3.0,4.0,5.0,4,4.0,3.0,3,4.0,6.0
362,363,2,4.0,0,3.0,1,2,4.0,8,2.0,1.0,2.0,1,4,2.0,2,2,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,2,3.0,1.0,1,1.0,9.0
363,364,1,6.0,0,3.0,1,3,4.0,14,3.0,1.0,2.0,3,6,2.0,2,3,2.0,2,1.0,1.0,2.0,2.0,2.0,3.0,2,2.0,3.0,1,1.0,9.0
364,365,2,4.0,0,3.0,1,3,4.0,9,2.0,1.0,2.0,1,3,2.0,3,3,3.0,3,2.0,3.0,3.0,2.0,2.0,2.0,3,4.0,3.0,1,2.0,7.0
365,366,2,3.0,0,3.0,1,2,4.0,9,2.0,1.0,1.0,1,2,2.0,3,2,3.0,1,2.0,2.0,2.0,2.0,1.0,2.0,2,2.0,3.0,3,1.0,10.0
366,367,1,5.0,0,3.0,1,5,4.0,15,2.0,1.0,2.0,2,3,2.0,3,3,5.0,5,3.0,3.0,3.0,2.0,2.0,5.0,2,3.0,4.0,2,1.0,6.0
367,368,2,4.0,1,3.0,1,3,4.0,8,2.0,1.0,2.0,3,4,4.0,4,4,4.0,4,2.0,4.0,2.0,3.0,4.0,2.0,3,4.0,2.0,2,2.0,8.0
368,369,1,2.0,0,2.0,1,4,4.0,4,1.0,2.0,2.0,1,3,3.0,3,2,2.0,2,2.0,2.0,3.0,2.0,3.0,3.0,3,3.0,3.0,2,2.0,8.0
369,370,2,2.0,1,2.0,4,9,4.0,12,1.0,4.0,2.0,1,1,2.0,1,2,3.0,5,3.0,3.0,3.0,2.0,2.0,1.0,2,3.0,2.0,1,2.0,7.0
370,371,2,4.0,0,2.0,1,4,6.0,2,1.0,1.0,1.0,2,1,1.0,2,2,3.0,2,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,1.0,3,2.0,8.0
371,372,1,4.0,0,3.0,1,8,4.0,2,2.0,1.0,1.0,3,3,2.0,3,2,2.0,2,2.0,2.0,1.0,2.0,3.0,2.0,2,2.0,2.0,2,1.0,8.0
372,373,2,3.0,0,3.0,1,3,4.0,12,2.0,1.0,2.0,2,2,2.0,3,3,2.0,1,3.0,2.0,3.0,2.0,3.0,5.0,3,2.0,2.0,3,3.0,7.0
373,374,2,3.0,0,3.0,1,3,4.0,13,4.0,2.0,1.0,1,2,3.0,1,2,2.0,2,1.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,2,1.0,10.0
374,375,1,2.0,0,3.0,1,5,4.0,8,1.0,4.0,2.0,2,2,3.0,4,3,2.0,2,2.0,3.0,2.0,2.0,2.0,2.0,3,4.0,3.0,2,2.0,7.0
375,376,1,6.0,0,1.0,1,5,4.0,14,2.0,2.0,2.0,3,2,2.0,2,2,2.0,4,2.0,2.0,3.0,1.0,3.0,2.0,2,2.0,3.0,3,2.0,10.0
376,377,2,5.0,0,3.0,1,2,4.0,12,2.0,4.0,2.0,1,5,1.0,1,2,2.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,2,1.0,10.0
377,378,2,4.0,0,3.0,1,6,3.0,3,2.0,1.0,2.0,2,1,1.0,2,2,2.0,2,2.0,2.0,2.0,1.0,2.0,4.0,2,3.0,2.0,2,2.0,7.0
378,379,1,4.0,0,3.0,1,3,4.0,14,2.0,4.0,2.0,4,6,2.0,4,4,2.0,2,2.0,3.0,3.0,2.0,3.0,2.0,2,2.0,3.0,3,1.0,7.0
379,380,2,2.0,0,2.0,1,9,4.0,9,1.0,4.0,2.0,2,2,2.0,3,3,2.0,3,3.0,2.0,3.0,2.0,2.0,3.0,2,2.0,3.0,2,2.0,7.0
380,381,2,3.0,0,3.0,1,8,4.0,4,2.0,2.0,2.0,3,2,2.0,3,2,3.0,2,2.0,2.0,2.0,2.0,3.0,2.0,2,2.0,2.0,2,2.0,8.0
381,382,2,4.0,0,3.0,1,3,4.0,9,2.0,1.0,2.0,3,2,2.0,2,3,4.0,4,2.0,2.0,3.0,2.0,2.0,2.0,3,5.0,2.0,1,2.0,8.0
382,383,1,5.0,0,1.0,1,1,4.0,9,2.0,3.0,1.0,3,5,1.0,3,4,2.0,3,2.0,2.0,2.0,2.0,1.0,1.0,2,4.0,3.0,1,3.0,10.0
383,384,1,2.0,0,2.0,1,9,4.0,8,1.0,4.0,2.0,2,0,2.0,3,3,3.0,3,3.0,3.0,3.0,2.0,3.0,2.0,3,2.0,3.0,2,2.0,7.0
384,385,2,6.0,0,3.0,1,1,4.0,13,3.0,2.0,2.0,1,2,1.0,2,2,2.0,2,2.0,2.0,3.0,1.0,2.0,1.0,4,4.0,4.0,3,3.0,10.0
385,386,1,3.0,1,2.0,1,5,4.0,4,2.0,4.0,2.0,4,4,3.0,3,4,2.0,3,3.0,4.0,4.0,5.0,3.0,3.0,4,3.0,3.0,3,3.0,5.0
386,387,1,3.0,0,3.0,1,8,5.0,3,2.0,1.0,1.0,3,0,2.0,3,4,3.0,2,2.0,2.0,2.0,1.0,3.0,4.0,2,3.0,1.0,1,1.0,7.0
387,388,2,2.0,0,1.0,1,8,5.0,7,1.0,4.0,2.0,1,1,3.0,4,3,3.0,4,3.0,4.0,3.0,4.0,5.0,2.0,3,4.0,4.0,2,3.0,6.0
389,390,1,3.0,0,1.0,1,9,5.0,15,2.0,1.0,2.0,1,2,3.0,3,3,3.0,3,2.0,3.0,3.0,2.0,3.0,2.0,3,3.0,3.0,2,2.0,7.0
391,392,1,3.0,0,3.0,1,3,10.0,8,4.0,4.0,1.0,1,2,3.0,3,3,3.0,2,3.0,3.0,3.0,2.0,3.0,3.0,3,4.0,3.0,2,3.0,6.0
392,393,2,3.0,0,3.0,1,8,5.0,12,1.0,1.0,2.0,2,2,4.0,3,3,3.0,3,4.0,3.0,3.0,2.0,3.0,3.0,3,3.0,3.0,2,1.0,6.0
393,394,2,2.0,0,2.0,1,9,1.0,8,1.0,4.0,2.0,2,2,3.0,3,3,3.0,3,2.0,2.0,2.0,3.0,2.0,3.0,2,2.0,2.0,1,2.0,8.0
394,395,2,2.0,0,2.0,1,8,5.0,8,1.0,4.0,2.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2.0,3,4.0,4.0,4,3.0,8.0
395,396,1,1.0,0,2.0,1,3,5.0,8,1.0,1.0,2.0,1,3,1.0,3,3,2.0,5,2.0,2.0,2.0,1.0,2.0,3.0,3,3.0,2.0,2,2.0,7.0
396,397,2,2.0,0,3.0,1,8,5.0,8,2.0,4.0,2.0,1,3,2.0,2,2,2.0,3,2.0,3.0,2.0,2.0,3.0,2.0,3,3.0,3.0,2,2.0,9.0
397,398,1,4.0,0,3.0,1,5,5.0,8,2.0,4.0,2.0,1,5,4.0,2,1,2.0,2,5.0,3.0,2.0,2.0,2.0,1.0,5,5.0,5.0,2,3.0,3.0
398,399,1,3.0,0,3.0,1,5,5.0,10,2.0,1.0,1.0,2,2,3.0,3,3,5.0,3,4.0,2.0,3.0,2.0,5.0,2.0,4,3.0,3.0,2,4.0,6.0
