,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
399,400,2,4.0,0,2.0,1,3,5.0,4,2.0,3.0,2.0,2,4,1.0,2,1,1.0,1,3.0,3.0,1.0,2.0,4.0,1.0,3,3.0,3.0,2,1.0,10.0
400,401,2,2.0,0,2.0,1,8,5.0,8,1.0,4.0,2.0,1,2,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,2.0,2.0,3,3.0,3.0,2,3.0,7.0
401,402,2,4.0,0,3.0,1,3,5.0,9,2.0,1.0,2.0,1,6,5.0,5,4,4.0,5,2.0,3.0,3.0,2.0,2.0,3.0,4,4.0,4.0,2,4.0,5.0
403,404,1,1.0,0,3.0,1,5,9.0,12,1.0,1.0,2.0,2,0,2.0,3,3,2.0,3,2.0,2.0,2.0,3.0,4.0,3.0,3,4.0,3.0,2,2.0,9.0
404,405,2,5.0,0,3.0,1,3,8.0,8,2.0,1.0,2.0,2,2,3.0,4,3,3.0,3,3.0,4.0,3.0,3.0,4.0,1.0,4,5.0,4.0,2,4.0,5.0
406,407,1,6.0,0,3.0,1,3,10.0,9,2.0,1.0,2.0,1,4,2.0,3,2,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0,4,4.0,4.0,4,3.0,7.0
407,408,1,6.0,0,1.0,1,3,5.0,8,2.0,4.0,2.0,1,5,4.0,5,2,2.0,4,2.0,4.0,2.0,4.0,2.0,2.0,4,4.0,4.0,3,4.0,6.0
408,409,2,2.0,0,3.0,1,4,5.0,12,2.0,4.0,2.0,3,3,5.0,2,2,5.0,5,3.0,2.0,4.0,2.0,3.0,5.0,5,5.0,3.0,1,3.0,8.0
409,410,1,6.0,0,3.0,1,3,5.0,11,2.0,1.0,2.0,1,6,2.0,1,2,2.0,2,2.0,2.0,2.0,1.0,1.0,3.0,2,4.0,4.0,2,3.0,4.0
410,411,1,5.0,0,3.0,1,3,10.0,10,2.0,4.0,2.0,1,4,2.0,2,3,3.0,1,1.0,3.0,3.0,1.0,2.0,1.0,1,2.0,3.0,3,1.0,9.0
411,412,1,6.0,0,3.0,1,3,5.0,10,2.0,2.0,2.0,2,3,3.0,4,1,4.0,3,2.0,2.0,2.0,2.0,2.0,5.0,2,4.0,4.0,3,4.0,8.0
412,413,2,2.0,0,2.0,1,9,5.0,3,1.0,3.0,2.0,4,1,2.0,2,2,2.0,2,2.0,2.0,2.0,1.0,2.0,1.0,2,2.0,2.0,2,2.0,8.0
413,414,1,2.0,0,2.0,1,8,7.0,12,2.0,1.0,2.0,3,0,3.0,3,3,3.0,2,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,7.0
414,415,2,3.0,0,1.0,1,9,5.0,4,2.0,2.0,1.0,3,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,6.0
415,416,2,2.0,0,3.0,1,5,5.0,9,2.0,1.0,2.0,2,1,1.0,3,1,3.0,3,3.0,3.0,3.0,2.0,4.0,3.0,3,3.0,3.0,3,2.0,9.0
416,417,2,2.0,0,1.0,1,9,5.0,7,1.0,4.0,2.0,2,2,3.0,4,3,3.0,3,4.0,3.0,2.0,3.0,4.0,2.0,3,4.0,3.0,3,2.0,7.0
417,418,2,4.0,0,3.0,1,8,5.0,3,2.0,1.0,2.0,2,1,3.0,3,2,3.0,4,2.0,3.0,2.0,3.0,3.0,2.0,3,3.0,3.0,2,3.0,8.0
419,420,2,2.0,0,2.0,1,9,5.0,14,1.0,3.0,1.0,5,0,2.0,4,4,3.0,2,3.0,3.0,1.0,4.0,4.0,3.0,3,3.0,4.0,2,2.0,7.0
421,422,2,2.0,0,1.0,1,9,5.0,14,1.0,4.0,2.0,2,1,3.0,3,3,2.0,2,3.0,3.0,2.0,2.0,2.0,3.0,2,2.0,2.0,2,2.0,5.0
423,424,1,2.0,0,3.0,1,9,5.0,7,1.0,4.0,2.0,2,1,2.0,2,2,4.0,2,2.0,2.0,3.0,1.0,1.0,3.0,1,2.0,2.0,1,1.0,8.0
425,426,2,2.0,0,3.0,1,9,4.0,5,2.0,1.0,2.0,3,0,3.0,4,3,4.0,4,5.0,4.0,3.0,4.0,2.0,1.0,3,4.0,4.0,2,2.0,5.0
428,429,2,2.0,0,3.0,1,9,5.0,12,1.0,1.0,2.0,4,0,3.0,4,2,5.0,1,4.0,2.0,2.0,3.0,4.0,1.0,3,3.0,3.0,1,2.0,8.0
430,431,2,2.0,0,2.0,1,8,5.0,8,2.0,2.0,2.0,3,1,3.0,4,3,3.0,4,2.0,3.0,4.0,2.0,2.0,3.0,4,4.0,3.0,2,2.0,6.0
431,432,1,2.0,0,2.0,1,6,5.0,2,1.0,1.0,2.0,2,2,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,2,1.0,1.0,1,2.0,10.0
432,433,1,2.0,0,2.0,1,5,5.0,3,1.0,1.0,2.0,3,0,2.0,2,2,2.0,2,3.0,3.0,3.0,2.0,3.0,4.0,3,3.0,3.0,3,2.0,8.0
433,434,2,2.0,0,1.0,2,10,5.0,7,1.0,4.0,2.0,4,0,2.0,3,2,1.0,3,4.0,2.0,3.0,2.0,3.0,2.0,3,4.0,3.0,4,2.0,6.0
435,436,2,4.0,0,3.0,1,10,5.0,3,2.0,1.0,1.0,5,0,1.0,2,1,1.0,3,3.0,2.0,2.0,3.0,4.0,2.0,4,3.0,2.0,2,2.0,7.0
437,438,1,5.0,0,3.0,1,4,5.0,5,2.0,4.0,1.0,2,9,2.0,3,3,3.0,3,3.0,3.0,3.0,2.0,2.0,2.0,5,4.0,3.0,2,2.0,5.0
438,439,1,2.0,0,1.0,1,9,5.0,6,1.0,1.0,1.0,4,1,2.0,3,2,3.0,2,3.0,3.0,3.0,2.0,3.0,2.0,5,2.0,2.0,2,1.0,8.0
439,440,2,3.0,0,3.0,1,6,5.0,9,2.0,2.0,1.0,3,2,2.0,3,2,2.0,4,1.0,2.0,1.0,2.0,2.0,2.0,3,2.0,2.0,2,2.0,9.0
440,441,2,2.0,0,3.0,1,9,5.0,12,2.0,1.0,2.0,2,2,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,7.0
444,445,2,5.0,0,3.0,1,1,5.0,11,2.0,4.0,2.0,1,4,2.0,3,3,3.0,4,2.0,2.0,2.0,2.0,1.0,2.0,3,3.0,3.0,3,2.0,8.0
445,446,1,5.0,0,3.0,1,3,5.0,9,2.0,2.0,1.0,2,6,2.0,2,2,3.0,3,2.0,2.0,3.0,2.0,2.0,2.0,3,4.0,2.0,3,2.0,7.0
446,447,1,2.0,0,2.0,1,5,2.0,14,1.0,3.0,1.0,1,0,1.0,1,2,3.0,5,2.0,1.0,1.0,1.0,5.0,1.0,3,3.0,3.0,1,1.0,10.0
447,448,1,2.0,0,2.0,1,5,1.0,9,2.0,1.0,1.0,2,1,3.0,3,3,4.0,4,4.0,3.0,3.0,4.0,5.0,2.0,3,4.0,3.0,2,2.0,7.0
448,449,1,3.0,0,2.0,1,2,5.0,9,2.0,4.0,2.0,2,1,2.0,2,3,3.0,3,2.0,2.0,2.0,2.0,2.0,3.0,3,2.0,3.0,2,2.0,6.0
449,450,2,2.0,0,2.0,1,9,5.0,12,1.0,4.0,2.0,2,0,2.0,3,3,2.0,4,3.0,3.0,2.0,2.0,4.0,1.0,3,3.0,4.0,1,3.0,6.0
450,451,1,5.0,0,3.0,1,6,3.0,6,2.0,3.0,1.0,5,2,1.0,1,2,2.0,3,2.0,2.0,1.0,3.0,2.0,2.0,2,1.0,2.0,2,1.0,9.0
451,452,2,5.0,0,3.0,1,6,3.0,9,2.0,3.0,1.0,5,1,1.0,1,2,2.0,3,2.0,3.0,1.0,4.0,2.0,4.0,3,2.0,3.0,2,2.0,9.0
452,453,2,6.0,0,3.0,1,4,10.0,14,3.0,2.0,2.0,5,6,1.0,2,3,2.0,1,2.0,1.0,1.0,2.0,3.0,2.0,1,2.0,3.0,2,1.0,10.0
453,454,2,4.0,0,2.0,1,3,5.0,9,2.0,1.0,1.0,3,4,3.0,2,3,3.0,4,4.0,3.0,2.0,2.0,4.0,3.0,4,4.0,4.0,4,1.0,7.0
454,455,1,2.0,0,3.0,1,6,1.0,9,1.0,1.0,2.0,3,1,3.0,3,3,2.0,5,4.0,2.0,1.0,2.0,5.0,2.0,2,3.0,3.0,2,2.0,9.0
455,456,1,4.0,0,3.0,1,2,7.0,9,2.0,2.0,2.0,2,2,3.0,4,4,3.0,4,2.0,2.0,2.0,4.0,5.0,3.0,4,5.0,5.0,1,4.0,6.0
457,458,2,4.0,0,3.0,1,2,1.0,9,2.0,4.0,2.0,2,6,2.0,3,4,3.0,3,4.0,2.0,3.0,2.0,3.0,2.0,3,5.0,4.0,4,1.0,6.0
458,459,2,1.0,0,2.0,2,5,10.0,13,1.0,4.0,2.0,1,0,5.0,5,4,5.0,3,2.0,2.0,1.0,1.0,4.0,2.0,3,5.0,2.0,1,2.0,7.0
459,460,2,4.0,0,1.0,1,8,10.0,2,2.0,3.0,1.0,5,3,2.0,2,1,2.0,1,2.0,2.0,1.0,1.0,5.0,2.0,2,4.0,2.0,1,2.0,8.0
460,461,2,4.0,0,1.0,1,8,10.0,2,2.0,3.0,1.0,5,2,2.0,2,2,3.0,5,2.0,2.0,3.0,4.0,1.0,2.0,3,5.0,2.0,1,2.0,8.0
461,462,2,4.0,0,1.0,1,8,10.0,3,2.0,3.0,1.0,5,3,1.0,2,2,3.0,4,2.0,1.0,1.0,2.0,5.0,2.0,2,4.0,2.0,1,1.0,9.0
462,463,1,5.0,1,2.0,1,10,3.0,6,1.0,3.0,1.0,5,2,1.0,1,3,2.0,4,2.0,2.0,1.0,3.0,5.0,5.0,3,4.0,2.0,1,1.0,8.0
463,464,2,4.0,0,3.0,1,3,7.0,9,2.0,2.0,1.0,2,0,3.0,3,2,2.0,1,2.0,2.0,3.0,2.0,2.0,2.0,3,4.0,3.0,2,3.0,7.0
464,465,1,5.0,0,3.0,1,2,1.0,9,2.0,4.0,2.0,1,6,4.0,4,4,2.0,4,4.0,4.0,3.0,3.0,2.0,3.0,4,4.0,4.0,3,5.0,0.0
465,466,2,3.0,0,3.0,1,3,1.0,9,2.0,1.0,2.0,1,1,2.0,3,2,2.0,3,3.0,2.0,2.0,2.0,2.0,3.0,3,2.0,4.0,2,1.0,9.0
466,467,1,5.0,0,3.0,2,3,2.0,9,2.0,1.0,1.0,2,0,3.0,3,3,3.0,1,2.0,2.0,2.0,2.0,4.0,2.0,3,3.0,2.0,2,2.0,8.0
467,468,1,2.0,0,2.0,1,3,5.0,11,2.0,4.0,2.0,1,3,2.0,3,3,3.0,2,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,2.0,3,3.0,5.0
468,469,2,3.0,0,3.0,1,2,5.0,9,2.0,1.0,1.0,4,2,2.0,3,3,2.0,4,2.0,3.0,3.0,2.0,5.0,2.0,3,4.0,4.0,1,3.0,10.0
469,470,1,6.0,0,1.0,2,2,1.0,13,2.0,4.0,2.0,1,0,2.0,2,4,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,3,2.0,6.0
470,471,2,2.0,0,2.0,3,9,5.0,14,1.0,4.0,2.0,1,0,2.0,4,4,2.0,3,3.0,3.0,3.0,2.0,2.0,2.0,4,3.0,3.0,2,2.0,7.0
471,472,2,2.0,0,1.0,1,9,3.0,5,1.0,1.0,2.0,4,0,2.0,3,1,2.0,4,1.0,2.0,1.0,2.0,5.0,2.0,1,5.0,2.0,1,2.0,7.0
472,473,2,2.0,0,3.0,1,9,4.0,7,1.0,2.0,2.0,3,0,2.0,2,3,2.0,2,1.0,2.0,4.0,1.0,2.0,2.0,2,1.0,2.0,1,2.0,7.0
473,474,1,4.0,0,3.0,1,3,5.0,9,4.0,1.0,2.0,3,2,3.0,4,4,2.0,2,3.0,2.0,3.0,3.0,5.0,2.0,4,5.0,3.0,2,4.0,5.0
474,475,2,4.0,0,1.0,1,8,7.0,7,4.0,2.0,1.0,4,1,2.0,2,2,2.0,3,3.0,2.0,2.0,2.0,5.0,4.0,2,2.0,4.0,2,2.0,8.0
475,476,1,6.0,1,2.0,4,3,4.0,9,3.0,3.0,1.0,5,1,2.0,1,1,2.0,2,2.0,1.0,2.0,2.0,4.0,2.0,2,2.0,3.0,3,2.0,9.0
476,477,2,2.0,1,3.0,1,6,5.0,14,2.0,4.0,2.0,1,3,4.0,5,5,3.0,1,3.0,2.0,2.0,2.0,2.0,3.0,2,3.0,3.0,1,3.0,5.0
477,478,2,4.0,0,3.0,1,3,5.0,15,2.0,1.0,2.0,1,2,3.0,3,3,3.0,3,2.0,3.0,3.0,3.0,2.0,3.0,2,4.0,3.0,2,3.0,6.0
478,479,1,2.0,0,1.0,1,8,5.0,9,2.0,1.0,1.0,2,1,1.0,1,1,1.0,1,2.0,1.0,2.0,3.0,3.0,2.0,3,3.0,4.0,2,2.0,9.0
479,480,1,3.0,0,3.0,1,3,5.0,11,4.0,1.0,2.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,4.0,2.0,3,4.0,3.0,2,4.0,5.0
480,481,1,5.0,0,3.0,1,5,5.0,6,2.0,1.0,1.0,2,3,1.0,1,2,1.0,2,1.0,2.0,2.0,1.0,1.0,1.0,1,2.0,2.0,1,1.0,9.0
481,482,2,2.0,0,3.0,1,4,5.0,8,2.0,2.0,1.0,2,0,3.0,3,3,3.0,3,2.0,3.0,3.0,2.0,4.0,3.0,3,3.0,3.0,3,3.0,7.0
482,483,2,3.0,0,3.0,1,4,5.0,12,2.0,1.0,2.0,1,0,3.0,3,3,3.0,3,2.0,3.0,3.0,3.0,2.0,2.0,3,3.0,2.0,2,2.0,7.0
483,484,2,4.0,0,3.0,1,9,5.0,3,2.0,1.0,1.0,2,0,3.0,3,3,4.0,4,3.0,3.0,3.0,3.0,2.0,3.0,3,3.0,3.0,2,2.0,6.0
484,485,1,2.0,0,3.0,2,8,1.0,8,1.0,1.0,1.0,3,0,2.0,4,3,2.0,2,1.0,2.0,2.0,1.0,3.0,1.0,2,2.0,2.0,1,1.0,8.0
485,486,1,2.0,0,2.0,1,8,5.0,12,1.0,1.0,2.0,1,2,3.0,5,5,5.0,5,5.0,5.0,3.0,2.0,2.0,3.0,5,5.0,5.0,2,2.0,3.0
487,488,2,3.0,0,3.0,1,3,5.0,8,2.0,4.0,2.0,2,1,1.0,3,3,3.0,3,3.0,3.0,1.0,3.0,3.0,1.0,1,3.0,5.0,3,1.0,6.0
488,489,1,2.0,0,3.0,1,4,5.0,5,2.0,4.0,2.0,2,2,3.0,3,3,3.0,2,2.0,2.0,3.0,3.0,3.0,3.0,2,4.0,2.0,5,2.0,7.0
489,490,2,3.0,0,2.0,2,5,5.0,8,2.0,1.0,2.0,1,2,2.0,2,2,3.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,3.0,3,2.0,5.0
490,491,1,3.0,0,3.0,1,3,5.0,8,2.0,1.0,1.0,2,4,1.0,2,2,2.0,4,3.0,4.0,2.0,3.0,3.0,1.0,3,3.0,2.0,1,2.0,10.0
491,492,1,2.0,0,2.0,3,8,5.0,12,2.0,1.0,1.0,3,0,2.0,3,2,2.0,3,2.0,2.0,1.0,1.0,2.0,1.0,2,2.0,1.0,2,1.0,9.0
493,494,2,2.0,0,3.0,2,3,5.0,8,1.0,4.0,2.0,2,1,3.0,3,2,2.0,2,1.0,2.0,2.0,2.0,1.0,1.0,2,2.0,2.0,2,2.0,7.0
494,495,2,4.0,0,3.0,2,2,1.0,4,2.0,4.0,2.0,2,3,1.0,3,3,3.0,5,3.0,3.0,3.0,3.0,3.0,3.0,3,5.0,3.0,3,3.0,7.0
495,496,2,3.0,0,2.0,1,8,5.0,9,2.0,2.0,1.0,3,2,1.0,1,2,3.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,8.0
496,497,2,2.0,0,2.0,2,3,5.0,4,1.0,4.0,2.0,2,0,3.0,3,3,5.0,3,3.0,4.0,3.0,3.0,4.0,3.0,3,5.0,3.0,2,3.0,6.0
497,498,1,3.0,0,2.0,1,8,5.0,5,2.0,1.0,1.0,3,0,1.0,3,2,2.0,3,2.0,2.0,2.0,2.0,3.0,2.0,3,3.0,2.0,2,2.0,9.0
498,499,2,2.0,0,1.0,1,10,5.0,2,1.0,4.0,2.0,3,1,2.0,3,2,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0,3,2.0,2.0,2,2.0,7.0
499,500,1,4.0,0,2.0,7,3,4.0,9,2.0,1.0,2.0,2,2,3.0,3,4,2.0,3,2.0,3.0,2.0,2.0,3.0,3.0,3,4.0,3.0,2,2.0,7.0
501,502,1,4.0,0,3.0,1,6,5.0,6,2.0,2.0,1.0,1,2,2.0,3,3,3.0,4,3.0,3.0,3.0,2.0,3.0,3.0,3,2.0,2.0,2,2.0,7.0
503,504,2,3.0,0,2.0,1,6,5.0,6,2.0,1.0,2.0,1,1,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,3.0,2.0,3,4.0,3.0,2,2.0,6.0
504,505,1,2.0,0,2.0,1,5,5.0,10,1.0,4.0,1.0,4,0,2.0,3,2,3.0,2,3.0,3.0,3.0,1.0,4.0,2.0,3,2.0,2.0,2,1.0,7.0
505,506,2,6.0,0,3.0,1,5,1.0,14,2.0,3.0,1.0,2,4,2.0,3,3,4.0,4,3.0,3.0,2.0,1.0,2.0,2.0,2,5.0,3.0,1,2.0,7.0
506,507,1,6.0,0,3.0,1,4,9.0,15,2.0,1.0,1.0,1,5,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,10.0
507,508,1,3.0,0,3.0,1,4,6.0,13,2.0,4.0,2.0,1,2,2.0,2,3,4.0,5,3.0,4.0,3.0,2.0,2.0,2.0,3,2.0,2.0,2,2.0,8.0
508,509,1,3.0,0,3.0,1,8,4.0,8,2.0,1.0,1.0,1,0,3.0,3,3,5.0,4,2.0,2.0,3.0,2.0,4.0,2.0,2,3.0,3.0,2,3.0,7.0
509,510,2,5.0,0,3.0,1,5,6.0,14,2.0,1.0,2.0,1,5,1.0,3,5,2.0,1,1.0,3.0,2.0,3.0,2.0,1.0,3,3.0,2.0,2,1.0,9.0
510,511,1,4.0,0,3.0,1,3,6.0,3,2.0,1.0,2.0,1,5,5.0,5,5,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,1.0,3,1.0,0.0
511,512,2,4.0,0,2.0,1,3,6.0,13,2.0,4.0,2.0,1,3,3.0,3,3,2.0,2,5.0,2.0,2.0,3.0,2.0,2.0,2,3.0,2.0,3,1.0,7.0
512,513,1,6.0,0,1.0,1,6,6.0,5,2.0,1.0,2.0,2,3,2.0,2,2,3.0,2,3.0,2.0,2.0,2.0,2.0,2.0,2,3.0,3.0,3,1.0,9.0
513,514,2,2.0,0,3.0,2,6,6.0,4,1.0,4.0,2.0,1,5,3.0,3,3,3.0,2,3.0,3.0,2.0,3.0,2.0,3.0,2,3.0,3.0,2,2.0,9.0
514,515,1,3.0,0,3.0,2,8,5.0,5,2.0,3.0,1.0,3,0,2.0,2,3,3.0,3,2.0,2.0,2.0,2.0,3.0,2.0,2,3.0,3.0,2,1.0,9.0
515,516,2,1.0,0,3.0,1,2,6.0,15,1.0,4.0,1.0,2,0,1.0,1,1,1.0,2,3.0,3.0,2.0,2.0,1.0,1.0,1,2.0,3.0,1,2.0,10.0
516,517,2,3.0,0,3.0,1,4,6.0,2,2.0,4.0,1.0,2,2,3.0,3,2,2.0,2,1.0,1.0,2.0,1.0,1.0,2.0,1,3.0,3.0,1,1.0,9.0
517,518,1,2.0,0,3.0,1,4,1.0,12,1.0,1.0,1.0,4,0,3.0,3,3,3.0,3,3.0,3.0,4.0,4.0,5.0,3.0,3,3.0,3.0,2,3.0,8.0
518,519,2,2.0,0,2.0,1,8,1.0,12,1.0,1.0,2.0,2,1,2.0,2,1,3.0,2,1.0,2.0,3.0,2.0,1.0,2.0,2,3.0,3.0,2,2.0,8.0
519,520,1,4.0,0,1.0,1,6,6.0,10,2.0,2.0,1.0,3,2,1.0,2,2,2.0,2,3.0,2.0,2.0,2.0,5.0,3.0,5,5.0,3.0,3,2.0,8.0
520,521,1,3.0,0,3.0,1,4,6.0,10,2.0,2.0,1.0,2,2,2.0,3,3,1.0,3,2.0,2.0,3.0,2.0,4.0,2.0,3,3.0,2.0,3,2.0,8.0
521,522,2,5.0,0,3.0,1,5,8.0,8,2.0,1.0,1.0,1,6,1.0,2,3,3.0,3,3.0,3.0,3.0,3.0,2.0,2.0,3,4.0,3.0,2,1.0,8.0
522,523,2,2.0,0,2.0,4,8,6.0,5,1.0,1.0,1.0,2,2,1.0,4,3,5.0,4,2.0,2.0,2.0,2.0,4.0,1.0,3,3.0,2.0,1,1.0,9.0
523,524,2,6.0,0,3.0,1,3,4.0,15,2.0,4.0,2.0,1,6,3.0,3,3,3.0,5,5.0,5.0,5.0,3.0,3.0,3.0,5,5.0,3.0,5,3.0,1.0
524,525,2,2.0,0,2.0,1,6,7.0,5,1.0,1.0,2.0,3,2,1.0,4,2,5.0,5,4.0,1.0,3.0,1.0,4.0,3.0,4,5.0,3.0,1,4.0,6.0
525,526,2,3.0,0,3.0,1,4,4.0,8,2.0,1.0,2.0,2,1,3.0,3,3,3.0,3,2.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,7.0
526,527,1,5.0,0,3.0,1,7,4.0,6,2.0,1.0,2.0,2,3,2.0,2,2,2.0,4,3.0,2.0,2.0,3.0,3.0,3.0,4,5.0,2.0,3,2.0,9.0
527,528,2,1.0,0,2.0,4,3,6.0,15,2.0,4.0,2.0,1,0,1.0,3,3,2.0,3,3.0,3.0,3.0,3.0,3.0,2.0,3,3.0,3.0,3,1.0,10.0
529,530,1,2.0,0,1.0,1,9,6.0,7,1.0,1.0,2.0,2,0,2.0,3,3,3.0,3,3.0,3.0,3.0,2.0,2.0,2.0,3,4.0,2.0,2,2.0,7.0
530,531,1,2.0,0,3.0,1,6,6.0,12,2.0,4.0,2.0,3,1,3.0,3,3,2.0,4,3.0,4.0,3.0,2.0,2.0,3.0,2,3.0,3.0,2,2.0,8.0
532,533,2,4.0,0,3.0,1,5,6.0,12,2.0,1.0,1.0,1,3,1.0,1,3,3.0,1,2.0,2.0,3.0,2.0,2.0,3.0,2,2.0,3.0,3,3.0,5.0
533,534,2,4.0,0,3.0,1,5,6.0,9,2.0,1.0,2.0,2,3,2.0,2,4,2.0,4,3.0,2.0,4.0,2.0,2.0,2.0,2,3.0,2.0,2,3.0,8.0
534,535,1,2.0,0,3.0,1,8,6.0,15,1.0,3.0,2.0,3,0,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,2.0,2.0,2,3.0,3.0,2,3.0,7.0
535,536,1,2.0,0,3.0,1,4,6.0,3,1.0,1.0,2.0,5,2,3.0,3,3,5.0,5,4.0,3.0,3.0,2.0,2.0,5.0,2,2.0,2.0,1,1.0,3.0
536,537,2,4.0,0,3.0,1,2,6.0,9,2.0,4.0,2.0,1,4,2.0,2,2,2.0,2,2.0,2.0,2.0,2.0,2.0,1.0,3,3.0,3.0,3,4.0,8.0
537,538,2,4.0,1,3.0,1,3,6.0,11,2.0,4.0,2.0,1,2,3.0,3,2,2.0,1,2.0,2.0,4.0,2.0,2.0,3.0,3,3.0,3.0,4,1.0,8.0
538,539,2,3.0,0,2.0,1,9,4.0,9,2.0,1.0,1.0,2,3,3.0,3,4,4.0,4,3.0,3.0,3.0,4.0,2.0,2.0,4,3.0,4.0,2,2.0,8.0
539,540,1,2.0,0,3.0,1,9,4.0,9,1.0,1.0,1.0,3,1,3.0,3,2,3.0,5,3.0,2.0,2.0,3.0,5.0,3.0,5,4.0,3.0,2,2.0,7.0
540,541,1,6.0,0,3.0,1,2,6.0,6,2.0,1.0,1.0,1,8,2.0,3,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,4,5.0,2.0,2,2.0,9.0
541,542,2,4.0,0,3.0,1,3,6.0,8,2.0,4.0,2.0,2,3,3.0,3,2,3.0,2,2.0,2.0,3.0,2.0,3.0,3.0,3,2.0,2.0,3,2.0,5.0
542,543,2,3.0,0,2.0,2,5,6.0,12,2.0,2.0,1.0,2,1,2.0,5,5,3.0,3,3.0,3.0,2.0,2.0,2.0,2.0,2,3.0,3.0,1,2.0,6.0
543,544,2,1.0,0,2.0,1,8,8.0,7,1.0,1.0,1.0,2,0,1.0,3,3,3.0,1,3.0,2.0,3.0,3.0,3.0,2.0,2,3.0,2.0,2,3.0,6.0
